INFO 2025-04-04 05:28:04,596 autoreload Watching for file changes with StatReloader
INFO 2025-04-04 05:34:31,174 autoreload C:\Users\USER\Desktop\academic-issue-tracking-system\Backend\AITS_project\issues\urls.py changed, reloading.
INFO 2025-04-04 05:34:32,481 autoreload Watching for file changes with StatReloader
INFO 2025-04-04 05:35:02,594 token_views User authenticated: isiretshadrack, Role: student
INFO 2025-04-04 05:35:02,594 basehttp "POST /api/token/ HTTP/1.1" 200 674
INFO 2025-04-04 05:35:02,664 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:35:02,677 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:35:02,690 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:02,704 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:02,754 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:02,772 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:13,542 token_views User authenticated: markcollins, Role: lecturer
INFO 2025-04-04 05:35:13,542 basehttp "POST /api/token/ HTTP/1.1" 200 666
INFO 2025-04-04 05:35:13,599 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 05:35:13,607 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:13,619 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 05:35:13,622 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:13,635 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:13,649 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:35:24,238 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:35:24,245 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:35:27,685 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:35:27,685 basehttp "GET /api/course-units/ HTTP/1.1" 200 126
INFO 2025-04-04 05:35:27,698 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:35:27,698 basehttp "GET /api/course-units/ HTTP/1.1" 200 126
INFO 2025-04-04 05:35:31,079 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:35:31,089 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
ERROR 2025-04-04 05:35:39,572 token_views Authentication failed for Halamadrid: No active account found with the given credentials
WARNING 2025-04-04 05:35:39,572 log Unauthorized: /api/token/
WARNING 2025-04-04 05:35:39,572 basehttp "POST /api/token/ HTTP/1.1" 401 63
INFO 2025-04-04 05:35:44,009 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:35:44,021 basehttp "GET /api/colleges/ HTTP/1.1" 200 164
INFO 2025-04-04 05:37:04,415 basehttp "OPTIONS /api/register/ HTTP/1.1" 200 0
INFO 2025-04-04 05:37:05,341 basehttp "POST /api/register/ HTTP/1.1" 201 240
INFO 2025-04-04 05:37:10,872 token_views User authenticated: samodeke, Role: academic_registrar
INFO 2025-04-04 05:37:10,872 basehttp "POST /api/token/ HTTP/1.1" 200 672
INFO 2025-04-04 05:37:10,935 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:37:10,937 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:37:10,950 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:37:10,955 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:37:11,018 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:37:11,031 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:37:41,203 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:38:11,222 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:38:19,715 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:38:19,729 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:38:24,761 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:38:24,778 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:38:24,804 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:38:24,846 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 05:38:41,212 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:39:11,201 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:39:41,213 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:40:42,233 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:41:43,239 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:42:44,206 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:43:11,225 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:43:41,213 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:44:11,207 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:44:41,195 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:45:11,209 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:45:41,200 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:46:11,200 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:46:41,220 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:47:11,206 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:47:41,218 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:48:11,194 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 05:48:41,192 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:00:27,767 basehttp "GET /api/profile/ HTTP/1.1" 200 240
INFO 2025-04-04 06:00:27,782 basehttp "GET /api/profile/ HTTP/1.1" 200 240
INFO 2025-04-04 06:00:27,826 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:00:27,844 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:27,852 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:00:27,869 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:28,029 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:28,042 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:55,882 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:00:55,891 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:55,898 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:00:55,916 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:55,931 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:55,961 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:57,275 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:00:57,292 basehttp "GET /api/issues/ HTTP/1.1" 200 411
INFO 2025-04-04 06:01:11,070 basehttp "PATCH /api/profile/ HTTP/1.1" 200 240
INFO 2025-04-04 06:01:18,073 basehttp "PATCH /api/profile/ HTTP/1.1" 200 240
INFO 2025-04-04 06:01:22,691 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:01:22,704 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:01:26,086 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:01:26,089 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:01:32,191 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-04-04 06:01:32,207 basehttp "GET /api/notifications/ HTTP/1.1" 200 2
ERROR 2025-04-04 06:01:58,448 token_views Authentication failed for Halamadrid: No active account found with the given credentials
WARNING 2025-04-04 06:01:58,448 log Unauthorized: /api/token/
WARNING 2025-04-04 06:01:58,448 basehttp "POST /api/token/ HTTP/1.1" 401 63
INFO 2025-04-04 06:02:06,794 token_views User authenticated: markcollins, Role: lecturer
INFO 2025-04-04 06:02:06,794 basehttp "POST /api/token/ HTTP/1.1" 200 666
INFO 2025-04-04 06:02:06,849 basehttp "GET /api/notifications/ HTTP/1.1" 200 383
INFO 2025-04-04 06:02:06,855 basehttp "GET /api/issues/ HTTP/1.1" 200 411
